"exposure","outcome","method","nsnp","beta","se","pval","Q","Q_pval","egger_intercept","egger_intercept_pval","ci_lo","ci_hi","or","or_lo","or_hi"
"Fresh fruit intake","eGFR (log-transformed)","IVW",43,-0.00484336019355553,0.00641458220427153,0.450216185409303,149.873928388702,4.95656845687739e-14,NA,NA,-0.0174159413139277,0.00772922092681667,0.995168349962298,0.982734839592609,1.0077591684622
"Fresh fruit intake","eGFR (log-transformed)","Weighted Median",43,0.00782727087318168,0.0128146995381832,0.541329286280597,NA,NA,NA,NA,-0.0172895402216575,0.0329440819680208,1.00785798403897,0.98285906620077,1.03349274674504
"Fresh fruit intake","eGFR (log-transformed)","MR-Egger",43,-0.0144421366188078,0.0443391624811463,0.74463647347616,NA,NA,9.1077764557068e-05,0.821774841229821,-0.101346895081855,0.0724626218442389,0.985661650798159,0.903619517344074,1.07515261811706
"Fresh fruit intake","eGFR (log-transformed)","Weighted Mode",43,0.0120774727881204,0.0242244648391086,0.618085795160444,NA,NA,NA,NA,-0.0354024782965323,0.0595574238727732,1.0121506999654,0.965216859232639,1.06136670701639
"Cooked vegetable intake","eGFR (log-transformed)","IVW",14,0.0152567899520596,0.00995048611475776,0.125209142468229,14.5930635785575,0.333440711053667,NA,NA,-0.00424616283286564,0.0347597427369848,1.01537376892261,0.995762839370422,1.03537092353029
"Cooked vegetable intake","eGFR (log-transformed)","Weighted Median",14,0.0207770387890468,0.0169733212797544,0.220914590266003,NA,NA,NA,NA,-0.0124906709192718,0.0540447484973654,1.0209943841137,0.987587013729883,1.0555318345618
"Cooked vegetable intake","eGFR (log-transformed)","MR-Egger",14,0.0862995024359301,0.120759494166664,0.474831841184929,NA,NA,-0.000727325811664733,0.554739140641542,-0.150389106130732,0.322988111002592,1.09013277683877,0.860373134823346,1.38124892914307
"Cooked vegetable intake","eGFR (log-transformed)","Weighted Mode",14,-0.00233467854228751,0.0233904638777923,0.920492577621052,NA,NA,NA,NA,-0.0481799877427604,0.0435106306581853,0.99766804469995,0.952962250116358,1.04447109766823
"Salad/raw vegetable intake","eGFR (log-transformed)","IVW",15,0.0251548315392166,0.0106430875412905,0.0181037126356699,40.3096745218366,0.000228239051595693,NA,NA,0.00429437995828717,0.0460152831201461,1.0254738839332,1.00430361402136,1.04709041364325
"Salad/raw vegetable intake","eGFR (log-transformed)","Weighted Median",15,0.0189491976632404,0.00850211671969277,0.0258297210774898,NA,NA,NA,NA,0.00228504889264258,0.0356133464338382,1.01912987312324,1.00228766160654,1.03625509729154
