"exposure","outcome","method","nsnp","beta","se","pval","Q","Q_pval","egger_intercept","egger_intercept_pval","ci_lo","ci_hi","or","or_lo","or_hi","pval_fdr"
"Fresh fruit intake","eGFR (log-transformed)","IVW",43,-0.00484336019355553,0.00641458220427153,0.450216185409303,149.873928388702,4.95656845687739e-14,NA,NA,-0.0174159413139277,0.00772922092681667,0.995168349962298,0.982734839592609,1.0077591684622,0.643165979156147
"Cooked vegetable intake","eGFR (log-transformed)","IVW",14,0.0152567899520596,0.00995048611475776,0.125209142468229,14.5930635785575,0.333440711053667,NA,NA,-0.00424616283286564,0.0347597427369848,1.01537376892261,0.995762839370422,1.03537092353029,0.221841058671807
"Salad/raw vegetable intake","eGFR (log-transformed)","IVW",15,0.0251548315392166,0.0106430875412905,0.0181037126356699,40.3096745218366,0.000228239051595693,NA,NA,0.00429437995828717,0.0460152831201461,1.0254738839332,1.00430361402136,1.04709041364325,0.0905185631783494
"Dried fruit intake","eGFR (log-transformed)","IVW",38,0.00792026169170479,0.00527324591566188,0.133104635203084,76.3000115922216,0.000152607100566806,NA,NA,-0.0024153003029925,0.0182558236864021,1.00795170993562,0.997587614187855,1.01842347991584,0.221841058671807
"Tea intake","eGFR (log-transformed)","IVW",37,0.0162123455483662,0.00381780080662222,2.17121972281036e-05,133.518580311142,3.95595617254114e-13,NA,NA,0.00872945596738665,0.0236952351293458,1.01634447871957,1.00876766877955,1.02397819774842,0.000217121972281036
"Oily fish intake","eGFR (log-transformed)","IVW",52,0.000370992201176111,0.00385498273683333,0.92333229855208,154.862486144664,2.10181475898776e-12,NA,NA,-0.00718477396301722,0.00792675836536944,1.00037106102729,0.992840974822128,1.00795825829022,0.92333229855208
"Processed meat intake","eGFR (log-transformed)","IVW",18,-0.0125183401619465,0.0067474437735887,0.0635574652370698,22.7414960529321,0.157857047974333,NA,NA,-0.0257433299581803,0.000706649634287388,0.987559688323176,0.974585204334051,1.00070689936996,0.211858217456899
"Beef intake","eGFR (log-transformed)","IVW",12,-0.00515398140402325,0.00961912473481658,0.592092875289525,19.9601271502298,0.0458905033781242,NA,NA,-0.0240074658842638,0.0136995030762173,0.994859277569519,0.976278420949001,1.01379377125232,0.740116094111907
"Pork intake","eGFR (log-transformed)","IVW",11,-0.0183655417814315,0.0118299545116746,0.120551982318188,21.4358982278588,0.0182509289791764,NA,NA,-0.0415522526243137,0.00482116906145068,0.981802077075454,0.959299208130718,1.00483280959649,0.221841058671807
"Lamb/mutton intake","eGFR (log-transformed)","IVW",24,0.00288226170320211,0.00789165249171105,0.714940344258551,37.7127514413681,0.0273382017537342,NA,NA,-0.0125853771805516,0.0183499005869558,1.00288641941304,0.987493487484955,1.01851929454718,0.794378160287279
"Fresh fruit intake","CKD (binary)","IVW",43,-0.228194127720823,0.171230082233226,0.182638331514254,83.8854258195913,0.000131075013622443,NA,NA,-0.563805088897947,0.107416833456301,0.795969725047629,0.569039692524401,1.11339825941093,0.456595828785636
"Cooked vegetable intake","CKD (binary)","IVW",14,-0.2171295208468,0.26877885754251,0.419184390351907,10.7559026599941,0.631258073839579,NA,NA,-0.743936081630119,0.30967703993652,0.804825720845083,0.475239647258911,1.36298485336792,0.465760433724342
"Salad/raw vegetable intake","CKD (binary)","IVW",15,-0.556753677930899,0.284914330622664,0.0506883195629348,23.3158717532021,0.0553201228515358,NA,NA,-1.11518576595132,0.00167841008952152,0.573066405572422,0.327854369063513,1.0016798194081,0.253441597814674
"Dried fruit intake","CKD (binary)","IVW",38,-0.144562982109249,0.140951363235099,0.305069247913862,37.9657838087796,0.425148958511191,NA,NA,-0.420827654050043,0.131701689831545,0.865400405943748,0.65650323733372,1.14076796582026,0.465760433724342
"Tea intake","CKD (binary)","IVW",37,-0.402646374600544,0.102199024292346,8.15407236365835e-05,69.867186461705,0.000607090269884348,NA,NA,-0.602956462213542,-0.202336286987546,0.668548473248094,0.547191491358004,0.8168201957474,0.000815407236365835
"Oily fish intake","CKD (binary)","IVW",52,-0.160688979414418,0.103248800034726,0.119630160367715,58.687111360111,0.214406784981287,NA,NA,-0.36305662748248,0.0416786686536443,0.851556881644238,0.695547045305756,1.04255941789946,0.398767201225716
"Processed meat intake","CKD (binary)","IVW",18,0.202451040932527,0.182911508355657,0.268369571921332,23.9874530218599,0.119776281320933,NA,NA,-0.156055515444561,0.560957597309615,1.22440013816548,0.855511694940594,1.75234974250555,0.465760433724342
"Beef intake","CKD (binary)","IVW",12,0.0156168016488889,0.260692957979143,0.952231328172968,16.2700858795459,0.131396521415815,NA,NA,-0.495341395990232,0.526574999288009,1.01573938116447,0.609362837751872,1.69312341765824,0.952231328172968
"Pork intake","CKD (binary)","IVW",11,0.305212874748598,0.316140251586719,0.334326960655094,3.44938899783621,0.968788954323645,NA,NA,-0.314422018361371,0.924847767858566,1.35691382495304,0.730210800759596,2.52148438017265,0.465760433724342
"Lamb/mutton intake","CKD (binary)","IVW",24,-0.182579570500226,0.209250688899235,0.382913923240323,26.5570300196261,0.275281512164511,NA,NA,-0.592710920742727,0.227551779742276,0.833118349647002,0.552826582461587,1.25552244869986,0.465760433724342
